,Artista,Nombre,Nacionality
0,The Jackson 5,The Jacksons,US
6,Frijid Pink,Pink Floyd,
17,The Carpenters,Carpenters,US
26,The Jaggerz,The Beatles,GB
28,Eric Burdon & War,War,US
30,Mark Lindsay,Mark Knopfler,GB
33,The Delfonics,The Beatles,GB
36,Blues Image,The Moody Blues,GB
40,the Archies,The Beatles,GB
41,Dawn,P.M. Dawn,US
43,The Brotherhood of Man,Brotherhood of Man,GB
44,The Four Tops,Four Tops,US
52,The Moments,The Beatles,GB
53,Alive N Kickin’,Alive 'n Kickin',
55,Tyrone Davis,Miles Davis,US
57,Aretha Franklin with the Dixie Flyers,Aretha Franklin,US
58,Tee Set,Tee-Set,NL
66,The Pipkins,The Beatles,GB
69,Diana Ross & the Supremes,The Supremes,US
71,Bobbi Martin,Dean Martin,US
80,John Lennon / Plastic Ono Band,John Lennon,GB
81,the Partridge Family,The Partridge Family,US
94,Jean Knight,Jean Sibelius,FI
96,The Stampeders,The Beatles,GB
97,The Dramatics,The Beatles,GB
98,Tony Orlando and Dawn,Tony Orlando & Dawn,US
103,Smokey Robinson & the Miracles,The Miracles,US
106,King Floyd,Pink Floyd,
108,Grass Roots,The Grass Roots,US
111,The Osmonds,The Beatles,GB
114,The Bells,The Beatles,GB
115,Tommy James,James Brown,US
119,Paul Revere & the Raiders,Paul Revere and the Raiders,US
121,Lee Michaels,John Lee Hooker,US
124,Delaney & Bonnie & Friends,Delaney & Bonnie,US
129,Ocean,Billy Ocean,GB
136,8th Day,Doris Day,US
139,THE LAZY RIVER,Lazy River Jazzband,NL
140,the Doobie Brothers,The Doobie Brothers,US
142,Roberta Flack & Donny Hathaway,Roberta Flack,US
147,Johnny Nash,Johnny Cash,US
153,Jonathan Edwards,Jonathan Mann,US
160,the Rolling Stones,The Rolling Stones,GB
161,David Cassidy,David Bowie,
162,Robert John,Robert Schumann,DE
165,the Stylistics,The Beatles,GB
168,Dr. Hook & The Medicine Show,Dr. Hook,US
172,The Chi-Lites,The Chi‐Lites,US
173,Jackson 5,Michael Jackson,US
174,Daniel Boone,Pat Boone,US
177,"GOLLY, WOW",Bow Wow Wow,GB
178,Commander Cody and His Lost Planet Airmen,Commander Cody & His Lost Planet Airmen,US
181,Mac Davis,Miles Davis,US
182,the Chi-Lites,The Chi‐Lites,US
183,The Main Ingredient,Main Ingredient,
184,The Chakachas,The Beatles,GB
187,Climax,Climax Blues Band,GB
189,Joe Simon,Simon Jäger,DE
191,Sammy Davis Jr. with the Mike Curb Congregation,Sammy Davis Jr.,US
193,Gallery,Gallery Six,
195,Looking Glass,Philip Glass,US
196,Danny O’Keefe,Danny Elfman,US
204,Paul McCartney & Wings,Wings,GB
206,Edward Bear,Edward Elgar,GB
208,King Harvest,Stephen King,US
216,Billy Paul,Paul McCartney,GB
221,Garfunkel,Simon & Garfunkel,US
226,Bobby ‘Boris’ Pickett,Bobby “Boris” Pickett,US
228,Loggins and Messina,Loggins & Messina,US
229,Seals and Crofts,Seals & Crofts,US
235,Sylvia,Sylvia Vrethammar,SE
236,The Stylistics,The Beatles,GB
237,Eric Weissberg & Steve Mandell,Eric Clapton,GB
238,Charlie Daniels Band,The Charlie Daniels Band,US
241,The Spinners,The Beatles,GB
244,Johnny Rivers,Johnny Cash,US
246,the DeFranco Family featuring Tony DeFranco,Buddy DeFranco,US
248,Clint Holmes,Clint Bajakian,US
249,Hurricane Smith,Bessie Smith,US
250,Deodato,Eumir Deodato,BR
252,Carly Simon & James Taylor,Carly Simon,US
258,The First Class,First Class,GB
261,Paul McCartney and Wings,Wings,GB
269,Terry Jacks,Terry Pratchett,
