,Artista,Nombre,Nacionality,Checked,Commentary
0,The Jackson 5,The Jacksons,US,True, "The Jacksons" es formalmante conocida como "The Jackson 5"
6,Frijid Pink,Pink Floyd,US,True, Son dos bandas distintas. Frijid Pink es de United States
17,The Carpenters,Carpenters,US,True, Misma forma de llamar a la banda
26,The Jaggerz,The Beatles,US,True, El nombre no corresponde
28,Eric Burdon & War,War,US,True, Son dos artistas distintos -> Eric Burdon de GB y WAR de US
30,Mark Lindsay,Mark Knopfler,US,False, Dos artistas distintos -> Mark Lindsay es de US
33,The Delfonics,The Beatles,US,False, Bandas distintas
36,Blues Image,The Moody Blues,US,False, Bandas distintas
40,the Archies,The Beatles,US,False, Bandas distintas
41,Dawn,P.M. Dawn,US,False, La banda se llama Tony Orlando & Dawn pero es más conocida como simplemente Dawn
43,The Brotherhood of Man,Brotherhood of Man,GB,False, Son lo mismo
44,The Four Tops,Four Tops,US,False, Lo mismo
52,The Moments,The Beatles,US,False, Bandas distintas
53,Alive N Kickin’,Alive 'n Kickin',US,False, Lo mismo
55,Tyrone Davis,Miles Davis,US,False, Diferentes
57,Aretha Franklin with the Dixie Flyers,Aretha Franklin,US,False, Dos bandas Aretha -> US y Dixie -> CA
58,Tee Set,Tee-Set,NL,False, Lo mismo
66,The Pipkins,The Beatles,GB,False, Mal el nombre
69,Diana Ross & the Supremes,The Supremes,US,False, dos bandas distintas Diana -> US y The Supremes -> US
71,Bobbi Martin,Dean Martin,US,False, Diferentes
80,John Lennon / Plastic Ono Band,John Lennon,GB,False, Dos bandas ambas de GB
81,the Partridge Family,The Partridge Family,US,False, Lo mismo
94,Jean Knight,Jean Sibelius,US,False, bandas distintas
96,The Stampeders,The Beatles,CA,False, Bandas distintas
97,The Dramatics,The Beatles,US,False, bandas distintas
98,Tony Orlando and Dawn,Tony Orlando & Dawn,US,False, la banda se conoce también solo como Dawn
103,Smokey Robinson & the Miracles,The Miracles,US,False, featuring dos bandas distintas ambas de US
106,King Floyd,Pink Floyd,US,False, mal el nombre
108,Grass Roots,The Grass Roots,US,False, lo mismo
111,The Osmonds,The Beatles,US,False, mal el nombre
114,The Bells,The Beatles,CA,False, mal el nombre
115,Tommy James,James Brown,US,False, mal el nombre
119,Paul Revere & the Raiders,Paul Revere and the Raiders,US,False, Lo mismo
121,Lee Michaels,John Lee Hooker,US,False, Mal el nombre
124,Delaney & Bonnie & Friends,Delaney & Bonnie,US,False, Misma banda que antes teníia & Friends por sus múltiples cambios de integrantes
129,Ocean,Billy Ocean,CA,False, mal el nombre
136,8th Day,Doris Day,US,False, mal el nombre
139,THE LAZY RIVER,Lazy River Jazzband,NL,False, NO EXISTE MAL
140,the Doobie Brothers,The Doobie Brothers,US,False, Lo mismo
142,Roberta Flack & Donny Hathaway,Roberta Flack,US,False, dos artistas distintos ambos de US
147,Johnny Nash,Johnny Cash,US,False, mal el nombre
153,Jonathan Edwards,Jonathan Mann,US,False, mal el nombre
160,the Rolling Stones,The Rolling Stones,GB,False, lo mismo
161,David Cassidy,David Bowie,US,False, mal el nombre
162,Robert John,Robert Schumann,US,False, mal el nombre
165,the Stylistics,The Beatles,US,False, mal el nombre
168,Dr. Hook & The Medicine Show,Dr. Hook,US,False, lo mismo
172,The Chi-Lites,The Chi‐Lites,US,False, lo mismo
173,Jackson 5,Michael Jackson,US,False, mismo que the jackson 5
174,Daniel Boone,Pat Boone,GB,False, mal
177,"GOLLY, WOW",Bow Wow Wow,GB,False, no existe está parte del nombre de la canción como artista
178,Commander Cody and His Lost Planet Airmen,Commander Cody & His Lost Planet Airmen,US,False, lo mismo
181,Mac Davis,Miles Davis,US,False, mal el nombre
182,the Chi-Lites,The Chi‐Lites,US,False, lo mismo - ya hay una entrada antes
183,The Main Ingredient,Main Ingredient,US,False, lo mismo
184,The Chakachas,The Beatles,GB,False, mal el nombre y nacionalidad -> belgium
187,Climax,Climax Blues Band,US,False, mal el nombre
189,Joe Simon,Simon Jäger,US,False, mal el nombre
191,Sammy Davis Jr. with the Mike Curb Congregation,Sammy Davis Jr.,US,False, ft. ambos de US
193,Gallery,Gallery Six,US,False, mal el nombre
195,Looking Glass,Philip Glass,US,False, mal el nombre
196,Danny O’Keefe,Danny Elfman,US,False, mal el nombre
204,Paul McCartney & Wings,Wings,GB,False, ft. ambas de GB
206,Edward Bear,Edward Elgar,CA,False, mal el nombre
208,King Harvest,Stephen King,US,False, mal el nombre
216,Billy Paul,Paul McCartney,US,False, mal el nombre
221,Garfunkel,Simon & Garfunkel,US,False, mal el nombre -> Art Garfunkel
226,Bobby ‘Boris’ Pickett,Bobby “Boris” Pickett,US,False, lo mismo
228,Loggins and Messina,Loggins & Messina,US,False, lo mismo
229,Seals and Crofts,Seals & Crofts,US,False, lo mismo
235,Sylvia,Sylvia Vrethammar,US,False, mal el nombre
236,The Stylistics,The Beatles,US,False, mal el nombre
237,Eric Weissberg & Steve Mandell,Eric Clapton,US,False, ft. ambos de US
238,Charlie Daniels Band,The Charlie Daniels Band,US,False, lo mismo
241,The Spinners,The Beatles,US,False, mal el nombre
244,Johnny Rivers,Johnny Cash,US,False, mal el nombre
246,the DeFranco Family featuring Tony DeFranco,Buddy DeFranco,CA,False, mal el nombre también llamada simplemente The DeFranco Family
248,Clint Holmes,Clint Bajakian,US,False, mal el nombre
249,Hurricane Smith,Bessie Smith,US,False, mal el nombre
250,Deodato,Eumir Deodato,BR,False, lo mismo
252,Carly Simon & James Taylor,Carly Simon,US,False, ft. ambos de US
258,The First Class,First Class,GB,False, lo mismo
261,Paul McCartney and Wings,Wings,GB,False, ft. ambos de GB
269,Terry Jacks,Terry Pratchett,CA,False, mal el nombre
272,William DeVaughn,William Dufris,US,False, mal el nombre
274,Rufus & Chaka Khan,Rufus,US,False, ft. ambos de US
275,Andy Kim,Andy Williams,US,False, mal el nombre
277,George McCrae,George Frideric Handel,US,False, mal el nombre
279,John Lennon with the Plastic Ono Band,John Lennon,GB,False, ft.ambos de GB
280,Johnny Bristol,Johnny Cash,US,False, mal el nombre
283,Olivia Newton-John,Olivia Newton‐John,AU,False, lo mismo
286,Al Wilson,Al Green,US,False, mal el nombre
287,Dave Loggins,Kenny Loggins,US,False, mal el nombre
288,MFSB featuring the Three Degrees,The Three Degrees,US,False, ft. ambos de US
289,Dionne Warwick & The Spinners,Dionne Warwick,US,False, ft. ambos de US
290,Bo Donaldson and The Heywoods,Bo Donaldson and the Heywoods,US,False, lo mismo
291,Jim Stafford,Jim Reeves,US,False, mal el nombre
292,B.T. Express,BT,US,False, mal el nombre
295,The Guess Who featuring Wolfman Jack,The Guess Who,CA,False, ft. GW -> CA y WJ -> US
297,Donny and Marie Osmond,Donny & Marie Osmond,US,False, lo mismo
298,Paul Anka with Odia Coates,Paul Anka,CA,False, ft. PA -> CA y OC -> US
299,the Ritchie Family,The Ritchie Family,US,False, lo mismo
304,Grand Funk,Grand Funk Railroad,US,False, lo mismo
306,Carl Douglas,Douglas Adams,GB,False, mal el nombre y nacionalidad debe ser Jamaica
308,Ace,Ace of Base,GB,False, mal el nombre
310,Labelle,LaBelle,US,False, lo mismo
314,Morris Albert,Albert King,BR,False, mal el nombre
324,Ozark Mountain Daredevils,The Ozark Mountain Daredevils,US,False, lo mismo
326,Four Seasons,The Four Seasons,US,False, lo mismo
329,Sammy Johns,Sammy Davis Jr.,US,False, mal el nombre
330,Van McCoy & the Soul City Symphony,Van McCoy & The Soul City Symphony,US,False, lo mismo
332,Paul Anka & Odia Coates,Paul Anka,CA,False, ft. PA -> CA y OC -> US
334,The Blackbyrds,The Beatles,US,False, mal el nombre
337,David Geddes,David Bowie,US,False, mal el nombre
340,Major Harris,Emmylou Harris,US,False, mal el nombre
342,the Spinners,The Beatles,US,False, mal el nombre (ya aparece)
343,Tony Camillo’s Bazuka,Bazuka,US,False, Tony Camillo es un escritor -> la banda es Bazuka
345,Carol Douglas,Douglas Adams,US,False, mal el nombre
349,MYSELF,Myself,,False, MAL -> All by Myself de Eric Carmen
350,Hall & Oates,Daryl Hall & John Oates,US,False, lo mismo
