,Track,Artist,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Year
662,Muskrat Love,Captain & Tennille,3:48,4,0.659,0.257,9,-16.552,1,0.0382,0.89,0.00014,0.252,0.222,102.977,41,1976
684,How Deep Is Your Love,Bee Gees,3:32,4,0.738,0.868,11,-4.373,0,0.0731,0.0392,0.00169,0.388,0.336,122.003,83,1977
739,You Light Up My Life,Debby Boone,3:36,3,0.333,0.367,2,-10.06,1,0.0291,0.831,1.19e-05,0.262,0.0685,77.986,55,1977
762,Muskrat Love,Captain & Tennille,3:48,4,0.659,0.257,9,-16.552,1,0.0382,0.89,0.00014,0.252,0.222,102.977,41,1977
776,Don’t It Make My Brown Eyes Blue,Crystal Gayle,2:38,4,0.587,0.237,6,-16.541,1,0.0407,0.499,1.31e-06,0.614,0.368,85.383,7,1977
783,How Deep Is Your Love,Bee Gees,3:32,4,0.738,0.868,11,-4.373,0,0.0731,0.0392,0.00169,0.388,0.336,122.003,83,1978
835,You Light Up My Life,Debby Boone,3:36,3,0.333,0.367,2,-10.06,1,0.0291,0.831,1.19e-05,0.262,0.0685,77.986,55,1978
854,I Love The Nightlife,Alicia Bridges,3:07,4,0.693,0.708,0,-7.816,1,0.031,0.309,0.00305,0.0857,0.949,125.315,48,1978
876,Don’t It Make My Brown Eyes Blue,Crystal Gayle,2:38,4,0.587,0.237,6,-16.541,1,0.0407,0.499,1.31e-06,0.614,0.368,85.383,7,1978
956,I Love The Nightlife,Alicia Bridges,3:07,4,0.693,0.708,0,-7.816,1,0.031,0.309,0.00305,0.0857,0.949,125.315,48,1979
