,Artist
0,The Jackson 5
1,The Beatles
2,The Jackson 5
3,Simon & Garfunkel
4,Norman Greenbaum
5,Edison Lighthouse
6,Joe Cocker
7,Frijid Pink
8,James Taylor
9,Mungo Jerry
10,Bread
11,Edwin Starr
12,Shocking Blue
13,The Guess Who
14,The Kinks
15,Neil Diamond
16,B.J. Thomas
17,Chicago
18,The Carpenters
19,Vanity Fare
20,Badfinger
21,"Peter, Paul and Mary"
22,Santana
23,Chicago
24,Rare Earth
25,The Jackson 5
26,Charles Wright & the Watts 103rd Street Rhythm Band
27,The Hollies
28,Three Dog Night
29,The Jaggerz
30,Free
31,Eric Burdon & War
32,Sly & the Family Stone
33,Mark Lindsay
34,Bobby Sherman
35,John Lennon
36,The Delfonics
37,The Ides of March
38,Anne Murray
39,Blues Image
40,"Crosby, Stills, Nash & Young"
41,Brook Benton
42,Eddie Holman
43,Neil Diamond
44,the Archies
45,Dawn
46,Sugarloaf
47,The Brotherhood of Man
48,The Four Tops
49,R.B. Greaves
50,Marmalade
51,The Temptations
52,Clarence Carter
53,Ferrante and Teicher
54,Freda Payne
55,Steam
56,The Moments
57,Alive N Kickin’
58,Chairmen of the Board
59,Tyrone Davis
60,Ray Stevens
61,The Carpenters
62,Aretha Franklin with the Dixie Flyers
63,B.J. Thomas
64,Tee Set
65,The Supremes
66,Melanie
67,White Plains
68,Bobby Sherman
69,The Poppy Family
70,The Temptations
71,R. Dean Taylor
72,Stevie Wonder
73,Rare Earth
74,The Friends of Distinction
75,The Pipkins
76,Diana Ross
77,Tom Jones
78,Diana Ross & the Supremes
79,Three Dog Night
80,Tommy Roe
81,Bobbi Martin
82,Kenny Rogers & The First Edition
83,Dionne Warwick
84,Bobby Sherman
85,Ronnie Dyson
86,100 Proof (Aged in Soul)
87,Bread
88,Elton John
89,Cat Stevens
90,Ike & Tina Turner
91,John Denver
92,John Lennon / Plastic Ono Band
93,the Partridge Family
94,Santana
95,Al Green
96,The Carpenters
97,The Doors
98,Janis Joplin
99,Marvin Gaye
100,Van Morrison
101,Brian Hyland
102,Cat Stevens
103,The Rolling Stones
104,Gordon Lightfoot
105,Stevie Wonder
106,Three Dog Night
107,Tom Jones
108,Bee Gees
109,Five Man Electrical Band
110,Lynn Anderson
111,The Temptations
112,Jean Knight
113,The Carpenters
114,Badfinger
115,Joan Baez
116,Neil Diamond
117,The Stampeders
118,The Carpenters
119,The Dramatics
120,Three Dog Night
121,Tony Orlando and Dawn
122,Andy Williams
123,Bee Gees
124,Cher
125,Isaac Hayes
126,James Taylor
127,Lobo
128,Smokey Robinson & the Miracles
129,Jerry Reed
130,Aretha Franklin
131,Bill Withers
132,King Floyd
133,Sammi Smith
134,Grass Roots
135,Nitty Gritty Dirt Band
136,Chicago
137,Honey Cone
138,The Osmonds
139,Wadsworth Mansion
140,Cornelius Brothers & Sister Rose
141,The Bells
142,Tommy James
143,Freda Payne
144,The Undisputed Truth
145,Rare Earth
146,Grass Roots
147,Marvin Gaye
148,Ray Price
149,Brewer & Shipley
150,Paul Revere & the Raiders
151,Gladys Knight & the Pips
152,Lee Michaels
153,The 5th Dimension
154,Jerry Reed
155,The Supremes
156,Dave Edmunds
157,Delaney & Bonnie & Friends
158,Ringo Starr
159,Donny Osmond
160,The Osmonds
161,The Partridge Family
162,Barbra Streisand
163,Ocean
