Unnamed: 0,Artista,Nombre,Nacionality
0,The Jackson 5,The Jacksons,US
6,Frijid Pink,Pink Floyd,
17,The Carpenters,Carpenters,US
26,The Jaggerz,The Beatles,GB
28,Eric Burdon & War,War,US
30,Mark Lindsay,Mark Knopfler,GB
33,The Delfonics,The Beatles,GB
36,Blues Image,The Moody Blues,GB
40,the Archies,The Beatles,GB
41,Dawn,P.M. Dawn,US
43,The Brotherhood of Man,Brotherhood of Man,GB
44,The Four Tops,Four Tops,US
52,The Moments,The Beatles,GB
53,Alive N Kickin’,Alive 'n Kickin',
55,Tyrone Davis,Miles Davis,US
57,Aretha Franklin with the Dixie Flyers,Aretha Franklin,US
58,Tee Set,Tee-Set,NL
66,The Pipkins,The Beatles,GB
69,Diana Ross & the Supremes,The Supremes,US
71,Bobbi Martin,Dean Martin,US
80,John Lennon / Plastic Ono Band,John Lennon,GB
81,the Partridge Family,The Partridge Family,US
93,Jean Knight,Jean Sibelius,FI
95,The Stampeders,The Beatles,GB
96,The Dramatics,The Beatles,GB
97,Tony Orlando and Dawn,Tony Orlando & Dawn,US
102,Smokey Robinson & the Miracles,The Miracles,US
106,King Floyd,Pink Floyd,
108,Grass Roots,The Grass Roots,US
111,The Osmonds,The Beatles,GB
114,The Bells,The Beatles,GB
115,Tommy James,James Brown,US
119,Paul Revere & the Raiders,Paul Revere and the Raiders,US
121,Lee Michaels,John Lee Hooker,US
124,Delaney & Bonnie & Friends,Delaney & Bonnie,US
129,Ocean,Billy Ocean,GB
136,8th Day,Doris Day,US
139,the Doobie Brothers,The Doobie Brothers,US
141,Roberta Flack & Donny Hathaway,Roberta Flack,US
146,Johnny Nash,Johnny Cash,US
152,Jonathan Edwards,Jonathan Mann,US
159,the Rolling Stones,The Rolling Stones,GB
160,David Cassidy,David Bowie,
161,Robert John,Robert Schumann,DE
164,the Stylistics,The Beatles,GB
167,Dr. Hook & The Medicine Show,Dr. Hook,US
171,The Chi-Lites,The Chi‐Lites,US
172,Jackson 5,Michael Jackson,US
173,Daniel Boone,Pat Boone,US
176,The Stylistics,The Beatles,GB
177,Commander Cody and His Lost Planet Airmen,Commander Cody & His Lost Planet Airmen,US
180,Mac Davis,Miles Davis,US
181,the Chi-Lites,The Chi‐Lites,US
182,The Main Ingredient,Main Ingredient,
183,The Chakachas,The Beatles,GB
186,Climax,Climax Blues Band,GB
188,Joe Simon,Simon Jäger,DE
190,Sammy Davis Jr. with the Mike Curb Congregation,Sammy Davis Jr.,US
192,Gallery,Gallery Six,
194,Looking Glass,Philip Glass,US
195,Danny O’Keefe,Danny Elfman,US
201,Paul McCartney & Wings,Wings,GB
203,Edward Bear,Edward Elgar,GB
205,King Harvest,Stephen King,US
213,Billy Paul,Paul McCartney,GB
218,Garfunkel,Simon & Garfunkel,US
223,Bobby ‘Boris’ Pickett,Bobby “Boris” Pickett,US
225,Loggins and Messina,Loggins & Messina,US
226,Seals and Crofts,Seals & Crofts,US
232,Sylvia,Sylvia Vrethammar,SE
233,Eric Weissberg & Steve Mandell,Eric Clapton,GB
234,Charlie Daniels Band,The Charlie Daniels Band,US
237,The Spinners,The Beatles,GB
240,Johnny Rivers,Johnny Cash,US
242,the DeFranco Family featuring Tony DeFranco,Buddy DeFranco,US
244,Clint Holmes,Clint Bajakian,US
245,Hurricane Smith,Bessie Smith,US
246,Deodato,Eumir Deodato,BR
248,Carly Simon & James Taylor,Carly Simon,US
254,The First Class,First Class,GB
257,Paul McCartney and Wings,Wings,GB
265,Terry Jacks,Terry Pratchett,
268,William DeVaughn,William Dufris,US
270,Rufus & Chaka Khan,Rufus,US
