,Artista,Nombre,Nacionality
0,The Jackson 5,The Jacksons,US
1,The Beatles,The Beatles,GB
2,Simon & Garfunkel,Simon & Garfunkel,US
3,Norman Greenbaum,Norman Greenbaum,US
4,Edison Lighthouse,Edison Lighthouse,GB
5,Joe Cocker,Joe Cocker,GB
6,Frijid Pink,Pink Floyd,
7,James Taylor,James Taylor,US
8,Mungo Jerry,Mungo Jerry,GB
9,Bread,Bread,US
10,Edwin Starr,Edwin Starr,
11,Shocking Blue,Shocking Blue,NL
12,The Guess Who,The Guess Who,CA
13,The Kinks,The Kinks,GB
14,Neil Diamond,Neil Diamond,US
15,B.J. Thomas,B.J. Thomas,US
16,Chicago,Chicago,US
17,The Carpenters,Carpenters,US
18,Vanity Fare,Vanity Fare,GB
19,Badfinger,Badfinger,GB
20,"Peter, Paul and Mary","Peter, Paul and Mary",US
21,Santana,Santana,US
22,Rare Earth,Rare Earth,US
23,Charles Wright & the Watts 103rd Street Rhythm Band,Charles Wright & the Watts 103rd Street Rhythm Band,US
24,The Hollies,The Hollies,GB
25,Three Dog Night,Three Dog Night,US
26,The Jaggerz,The Beatles,GB
27,Free,Free,GB
28,Eric Burdon & War,War,US
29,Sly & the Family Stone,Sly & the Family Stone,US
30,Mark Lindsay,Mark Knopfler,GB
31,Bobby Sherman,Bobby Sherman,US
32,John Lennon,John Lennon,GB
33,The Delfonics,The Beatles,GB
34,The Ides of March,The Ides of March,US
35,Anne Murray,Anne Murray,CA
36,Blues Image,The Moody Blues,GB
37,"Crosby, Stills, Nash & Young","Crosby, Stills, Nash & Young",US
38,Brook Benton,Brook Benton,US
39,Eddie Holman,Eddie Holman,US
40,the Archies,The Beatles,GB
41,Dawn,P.M. Dawn,US
42,Sugarloaf,Sugarloaf,US
43,The Brotherhood of Man,Brotherhood of Man,GB
44,The Four Tops,Four Tops,US
45,R.B. Greaves,R.B. Greaves,US
46,Marmalade,Marmalade,GB
47,The Temptations,The Temptations,US
48,Clarence Carter,Clarence Carter,US
49,Ferrante and Teicher,Ferrante and Teicher,US
50,Freda Payne,Freda Payne,US
51,Steam,Steam,US
52,The Moments,The Beatles,GB
53,Alive N Kickin’,Alive 'n Kickin',
54,Chairmen of the Board,Chairmen of the Board,US
55,Tyrone Davis,Miles Davis,US
56,Ray Stevens,Ray Stevens,US
57,Aretha Franklin with the Dixie Flyers,Aretha Franklin,US
58,Tee Set,Tee-Set,NL
59,The Supremes,The Supremes,US
60,Melanie,Melanie,US
61,White Plains,White Plains,GB
62,The Poppy Family,The Poppy Family,CA
63,R. Dean Taylor,R. Dean Taylor,CA
64,Stevie Wonder,Stevie Wonder,US
65,The Friends of Distinction,The Friends of Distinction,US
66,The Pipkins,The Beatles,GB
67,Diana Ross,Diana Ross,US
68,Tom Jones,Tom Jones,
69,Diana Ross & the Supremes,The Supremes,US
70,Tommy Roe,Tommy Roe,US
71,Bobbi Martin,Dean Martin,US
