,Track,Artist,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Year,Track_Length,Track_Word_Length,Track_Transformed,Track_Language
0,abc,The Jackson 5,2:42,4,0.682,0.926,3,-2.515,0,0.0607,0.0404,0.0,0.19,0.86,105.969,81,1970,3,1,abc,ENGLISH
1,let it be,The Beatles,4:03,4,0.443,0.403,0,-8.339,1,0.0322,0.631,0.0,0.111,0.41,143.462,78,1970,9,3,let  ,GERMAN
2,i want you back,The Jackson 5,2:56,4,0.469,0.538,8,-13.559,1,0.0575,0.305,0.000114,0.37,0.885,196.606,78,1970,15,4, want you back,ENGLISH
3,cecilia,Simon & Garfunkel,2:54,4,0.755,0.876,0,-8.867,1,0.0362,0.357,5.17e-06,0.22,0.954,102.762,76,1970,7,1,cecilia,SPANISH
4,spirit in the sky,Norman Greenbaum,4:02,4,0.609,0.617,9,-7.091,1,0.0307,0.0994,0.00404,0.118,0.543,128.903,75,1970,17,4,spirit   sky,ENGLISH
5,love grows (where my rosemary goes),Edison Lighthouse,2:54,4,0.568,0.824,9,-4.613,1,0.0299,0.403,0.0,0.0855,0.753,108.625,73,1970,35,6,love grows where  rosemary goes,ENGLISH
6,the letter,Joe Cocker,1:31,4,0.721,0.496,8,-6.296,1,0.0645,0.14,0.000101,0.102,0.18,81.499,72,1970,10,2, letter,ENGLISH
7,the house of the rising sun,Frijid Pink,4:31,3,0.295,0.584,9,-6.696,0,0.0345,0.000385,0.218,0.0996,0.228,117.2,71,1970,27,6, house   rising sun,ENGLISH
8,fire and rain,James Taylor,3:23,4,0.597,0.271,5,-17.293,1,0.0394,0.766,0.0119,0.0933,0.338,76.271,71,1970,13,3,fire  rain,ENGLISH
9,in the summertime,Mungo Jerry,3:31,4,0.754,0.449,4,-14.013,1,0.0615,0.724,0.0,0.162,0.973,82.751,71,1970,17,3,  summertime,ENGLISH
10,make it with you,Bread,3:12,4,0.629,0.355,4,-11.123,1,0.0246,0.66,0.000648,0.173,0.471,83.886,69,1970,16,4,make   you,ENGLISH
11,war,Edwin Starr,2:36,4,0.633,0.664,10,-5.037,1,0.0294,0.46,0.0,0.108,0.268,115.058,69,1970,3,1,war,GERMAN
12,venus,Shocking Blue,3:49,4,0.722,0.961,9,-4.812,1,0.0514,0.0883,0.61,0.278,0.911,126.113,69,1970,5,1,venus,FRENCH
13,no time,The Guess Who,3:44,4,0.576,0.974,1,-2.785,1,0.0829,0.0199,0.0,0.348,0.53,129.088,69,1970,7,2,no time,ENGLISH
14,lola,The Kinks,4:01,4,0.456,0.894,9,-4.602,1,0.037,0.458,0.485,0.0695,0.926,151.333,69,1970,4,1,lola,SPANISH
15,bridge over troubled water,Simon & Garfunkel,4:53,4,0.149,0.206,3,-13.888,1,0.0323,0.822,0.000649,0.115,0.264,79.764,68,1970,26,4,bridge over troubled water,ENGLISH
16,cracklin’ rosie,Neil Diamond,2:59,4,0.564,0.505,1,-14.835,1,0.0336,0.318,0.0,0.163,0.863,127.815,64,1970,15,2,cracklin’ rosie,GERMAN
17,raindrops keep fallin’ on my head,B.J. Thomas,3:00,4,0.598,0.484,5,-9.663,1,0.0718,0.861,0.018,0.114,0.513,109.321,63,1970,33,6,raindrops keep fallin’   head,ENGLISH
18,25 or 6 to 4,Chicago,4:49,4,0.604,0.905,4,-7.059,0,0.0578,0.309,0.0632,0.0837,0.723,147.448,63,1970,12,5,25 or 6  4,ENGLISH
19,(they long to be) close to you,The Carpenters,4:36,4,0.532,0.244,8,-14.652,1,0.0327,0.707,4.56e-05,0.122,0.238,89.327,63,1970,30,7,they long   close  you,ENGLISH
20,hitchin’ a ride,Vanity Fare,2:51,4,0.424,0.919,9,-4.629,1,0.1,0.00306,0.00674,0.123,0.684,163.732,63,1970,15,3,hitchin’  ride,ENGLISH
21,come and get it,Badfinger,3:01,4,0.567,0.987,4,-4.069,1,0.0765,0.000133,2.38e-05,0.371,0.383,107.974,62,1970,15,4,come  get ,ENGLISH
22,leaving on a jet plane,"Peter, Paul and Mary",4:05,4,0.406,0.188,7,-13.039,1,0.0324,0.852,0.0,0.105,0.629,120.757,62,1970,22,5,leaving   jet plane,ENGLISH
23,evil ways,Santana,3:58,4,0.704,0.528,5,-13.382,1,0.0358,0.22,0.35,0.14,0.73,117.472,62,1970,9,2,evil ways,ENGLISH
24,make me smile,Chicago,3:59,4,0.571,0.818,0,-8.277,1,0.0337,0.00706,0.000181,0.0877,0.773,141.464,61,1970,13,3,make  smile,ENGLISH
25,get ready,Rare Earth,2:44,4,0.591,0.737,7,-5.867,1,0.0386,0.404,0.0,0.108,0.878,133.025,61,1970,9,2,get ready,ENGLISH
26,i’ll be there,The Jackson 5,3:52,4,0.527,0.852,2,-6.18,1,0.0456,0.0209,3.01e-06,0.187,0.254,112.491,61,1970,13,3,  there,ENGLISH
27,express yourself,Charles Wright & the Watts 103rd Street Rhythm Band,4:25,4,0.851,0.583,8,-11.022,0,0.286,0.0506,0.0,0.236,0.956,95.048,60,1970,16,2,express yourself,ENGLISH
28,"he ain’t heavy, he’s my brother",The Hollies,4:16,4,0.348,0.328,7,-11.505,1,0.0288,0.181,1.67e-05,0.263,0.232,76.059,60,1970,31,6,"he  heavy,   brother",ENGLISH
29,mama told me (not to come),Three Dog Night,3:18,4,0.673,0.673,1,-13.941,1,0.0493,0.373,0.0265,0.206,0.825,119.994,60,1970,26,6,mama told  not  come,ENGLISH
30,the rapper,The Jaggerz,2:48,4,0.639,0.626,6,-6.978,0,0.243,0.141,0.0,0.178,0.336,174.097,58,1970,10,2, rapper,ENGLISH
31,all right now,Free,5:34,4,0.773,0.407,2,-15.039,1,0.0752,0.0768,1.77e-06,0.08,0.775,119.829,56,1970,13,3,all right now,ENGLISH
32,spill the wine,Eric Burdon & War,4:06,4,0.818,0.475,2,-12.88,0,0.0708,0.471,0.0,0.0943,0.902,120.378,55,1970,14,3,spill  wine,ENGLISH
33,thank you (falettinme be mice elf agin),Sly & the Family Stone,4:51,4,0.9,0.709,9,-12.683,1,0.0636,0.296,0.00047,0.0863,0.897,105.822,55,1970,39,7,thank you falettinme  mice elf agin,ENGLISH
34,arizona,Mark Lindsay,4:50,4,0.506,0.523,4,-6.809,1,0.0302,0.0146,0.232,0.0874,0.348,154.053,53,1970,7,1,arizona,SPANISH
35,"easy come, easy go",Bobby Sherman,3:04,4,0.811,0.371,2,-14.992,1,0.0328,0.584,0.0019,0.062,0.745,106.682,52,1970,18,4,"easy come, easy go",ENGLISH
36,instant karma!,John Lennon,3:20,4,0.628,0.931,9,-9.973,1,0.0968,0.000689,0.00146,0.0997,0.144,119.976,52,1970,14,2,instant karma!,SPANISH
37,didn’t i (blow your mind this time),The Delfonics,3:21,4,0.484,0.59,9,-6.663,1,0.0283,0.795,0.00306,0.155,0.324,140.588,52,1970,35,7,didn’t  blow  mind  time,ENGLISH
38,vehicle,The Ides of March,2:58,4,0.474,0.734,10,-8.813,0,0.0426,0.0871,0.00356,0.26,0.926,101.751,52,1970,7,1,vehicle,ENGLISH
39,snowbird,Anne Murray,2:14,4,0.531,0.48,9,-10.633,1,0.0366,0.256,0.000136,0.0908,0.881,104.117,51,1970,8,1,snowbird,ENGLISH
40,ride captain ride,Blues Image,3:45,4,0.547,0.655,2,-11.707,1,0.0414,0.136,0.00737,0.116,0.649,125.545,51,1970,17,3,ride captain ride,ENGLISH
41,woodstock,"Crosby, Stills, Nash & Young",3:53,4,0.458,0.539,4,-12.403,0,0.057,0.122,0.00946,0.17,0.56,118.95,50,1970,9,1,woodstock,ENGLISH
42,rainy night in georgia,Brook Benton,3:53,4,0.301,0.309,4,-19.155,0,0.042,0.524,0.0758,0.129,0.384,75.165,49,1970,22,4,rainy night  georgia,ENGLISH
43,hey there lonely girl,Eddie Holman,3:36,3,0.389,0.322,9,-10.923,1,0.0282,0.693,2.08e-06,0.0814,0.343,94.007,49,1970,21,4,hey there lonely girl,ENGLISH
44,holly holy,Neil Diamond,4:40,4,0.283,0.31,9,-14.284,1,0.0279,0.661,0.000588,0.122,0.402,103.285,49,1970,10,2,holly holy,ENGLISH
45,jingle jangle,the Archies,3:21,4,0.707,0.224,7,-12.037,0,0.0398,0.973,0.000832,0.0465,0.823,93.922,48,1970,13,2,jingle jangle,ENGLISH
46,candida,Dawn,3:02,4,0.783,0.596,7,-10.056,1,0.0676,0.235,0.0,0.0427,0.88,127.576,47,1970,7,1,candida,SPANISH
