,Track,Artist,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Year
399,On And On,Gladys Knight & the Pips,7:26,3,0.438,0.687,7,-9.15,1,0.0619,0.000668,0.0801,0.42,0.426,103.01,70,1974
702,On And On,Stephen Bishop,7:26,3,0.438,0.687,7,-9.15,1,0.0619,0.000668,0.0801,0.42,0.426,103.01,70,1977
514,Dance With Me,Orleans,3:51,4,0.912,0.511,9,-6.365,1,0.203,0.0259,0.0,0.0442,0.611,101.628,63,1975
819,Dance With Me,Peter Brown,3:51,4,0.912,0.511,9,-6.365,1,0.203,0.0259,0.0,0.0442,0.611,101.628,63,1978
903,Fire,The Pointer Sisters,3:47,4,0.638,0.831,8,-5.039,1,0.049,0.142,0.0,0.113,0.649,124.071,72,1979
495,Fire,Ohio Players,3:47,4,0.638,0.831,8,-5.039,1,0.049,0.142,0.0,0.113,0.649,124.071,72,1975
509,Feel Like Makin’ Love,Bad Company,5:13,4,0.543,0.529,7,-9.717,1,0.0301,0.326,0.00269,0.709,0.746,85.126,64,1975
410,Feel Like Makin’ Love,Roberta Flack,5:13,4,0.543,0.529,7,-9.717,1,0.0301,0.326,0.00269,0.709,0.746,85.126,64,1974
134,Never Can Say Goodbye,The Jackson 5,2:59,4,0.527,0.821,2,-7.19,1,0.047,0.337,1.68e-06,0.394,0.835,166.139,55,1971
529,Never Can Say Goodbye,Gloria Gaynor,2:59,4,0.527,0.821,2,-7.19,1,0.047,0.337,1.68e-06,0.394,0.835,166.139,55,1975
628,Got To Get You Into My Life,The Beatles,2:29,4,0.521,0.524,0,-6.136,1,0.0302,0.42,9.27e-06,0.0838,0.711,136.679,57,1976
833,Got To Get You Into My Life,"Earth, Wind & Fire",2:29,4,0.521,0.524,0,-6.136,1,0.0302,0.42,9.27e-06,0.0838,0.711,136.679,57,1978
701,Best Of My Love,The Emotions,3:40,4,0.784,0.713,0,-6.865,1,0.0339,0.447,0.14,0.0904,0.97,115.443,71,1977
497,Best Of My Love,Eagles,3:40,4,0.784,0.713,0,-6.865,1,0.0339,0.447,0.14,0.0904,0.97,115.443,71,1975
282,I’d Like To Teach The World To Sing (IN Perfect Harmony),The New Seekers,2:30,4,0.645,0.311,11,-12.264,1,0.0342,0.81,0.0,0.207,0.605,130.166,0,1972
281,I’d Like To Teach The World To Sing (IN Perfect Harmony),The Hillside Singers,2:30,4,0.645,0.311,11,-12.264,1,0.0342,0.81,0.0,0.207,0.605,130.166,0,1972
101,Bridge Over Troubled Water,Aretha Franklin,4:53,4,0.149,0.206,3,-13.888,1,0.0323,0.822,0.000649,0.115,0.264,79.764,68,1971
15,Bridge Over Troubled Water,Simon & Garfunkel,4:53,4,0.149,0.206,3,-13.888,1,0.0323,0.822,0.000649,0.115,0.264,79.764,68,1970
485,Lady,Styx,3:03,4,0.539,0.16,3,-13.285,1,0.0329,0.881,0.000268,0.105,0.322,81.446,76,1975
890,Lady,Little River Band,3:03,4,0.539,0.16,3,-13.285,1,0.0329,0.881,0.000268,0.105,0.322,81.446,76,1979
