Track,Artist,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Year,popularity_sp
Abc,The Jackson 5,162,4,0.682,0.926,3,-2.515,0,0.0607,0.0404,0.0,0.19,0.86,105.969,81,1970,75
Let It Be,The Beatles,243,4,0.443,0.403,0,-8.339,1,0.0322,0.631,0.0,0.111,0.41,143.462,78,1970,78
I Want You Back,The Jackson 5,176,4,0.469,0.538,8,-13.559,1,0.0575,0.305,0.000114,0.37,0.885,196.606,78,1970,76
Cecilia,Simon & Garfunkel,174,4,0.755,0.876,0,-8.867,1,0.0362,0.357,5.17e-06,0.22,0.954,102.762,76,1970,72
Spirit In The Sky,Norman Greenbaum,242,4,0.609,0.617,9,-7.091,1,0.0307,0.0994,0.00404,0.118,0.543,128.903,75,1970,74
Love Grows (WHERE My Rosemary Goes),Edison Lighthouse,174,4,0.568,0.824,9,-4.613,1,0.0299,0.403,0.0,0.0855,0.753,108.625,73,1970,72
The Letter,Joe Cocker,91,4,0.721,0.496,8,-6.296,1,0.0645,0.14,0.000101,0.102,0.18,81.499,72,1970,72
The House Of The Rising Sun,Frijid Pink,271,3,0.295,0.584,9,-6.696,0,0.0345,0.000385,0.218,0.0996,0.228,117.2,71,1970,71
Fire And Rain,James Taylor,203,4,0.597,0.271,5,-17.293,1,0.0394,0.766,0.0119,0.0933,0.338,76.271,71,1970,73
In The Summertime,Mungo Jerry,211,4,0.754,0.449,4,-14.013,1,0.0615,0.724,0.0,0.162,0.973,82.751,71,1970,72
Make It With You,Bread,192,4,0.629,0.355,4,-11.123,1,0.0246,0.66,0.000648,0.173,0.471,83.886,69,1970,70
War,Edwin Starr,156,4,0.633,0.664,10,-5.037,1,0.0294,0.46,0.0,0.108,0.268,115.058,69,1970,46
Venus,Shocking Blue,229,4,0.722,0.961,9,-4.812,1,0.0514,0.0883,0.61,0.278,0.911,126.113,69,1970,69
No Time,The Guess Who,224,4,0.576,0.974,1,-2.785,1,0.0829,0.0199,0.0,0.348,0.53,129.088,69,1970,75
Lola,The Kinks,241,4,0.456,0.894,9,-4.602,1,0.037,0.458,0.485,0.0695,0.926,151.333,69,1970,67
Bridge Over Troubled Water,Simon & Garfunkel,293,4,0.149,0.206,3,-13.888,1,0.0323,0.822,0.000649,0.115,0.264,79.764,68,1970,68
Cracklin’ Rosie,Neil Diamond,179,4,0.564,0.505,1,-14.835,1,0.0336,0.318,0.0,0.163,0.863,127.815,64,1970,64
Raindrops Keep Fallin’ On My Head,B.J. Thomas,180,4,0.598,0.484,5,-9.663,1,0.0718,0.861,0.018,0.114,0.513,109.321,63,1970,63
25 Or 6 To 4,Chicago,289,4,0.604,0.905,4,-7.059,0,0.0578,0.309,0.0632,0.0837,0.723,147.448,63,1970,63
(THEY Long To Be) Close To You,The Carpenters,276,4,0.532,0.244,8,-14.652,1,0.0327,0.707,4.56e-05,0.122,0.238,89.327,63,1970,63
Hitchin’ A Ride,Vanity Fare,171,4,0.424,0.919,9,-4.629,1,0.1,0.00306,0.00674,0.123,0.684,163.732,63,1970,62
Come And Get It,Badfinger,181,4,0.567,0.987,4,-4.069,1,0.0765,0.000133,2.38e-05,0.371,0.383,107.974,62,1970,60
Leaving On A Jet Plane,"Peter, Paul and Mary",245,4,0.406,0.188,7,-13.039,1,0.0324,0.852,0.0,0.105,0.629,120.757,62,1970,57
Evil Ways,Santana,238,4,0.704,0.528,5,-13.382,1,0.0358,0.22,0.35,0.14,0.73,117.472,62,1970,62
Make Me Smile,Chicago,239,4,0.571,0.818,0,-8.277,1,0.0337,0.00706,0.000181,0.0877,0.773,141.464,61,1970,37
Get Ready,Rare Earth,164,4,0.591,0.737,7,-5.867,1,0.0386,0.404,0.0,0.108,0.878,133.025,61,1970,61
I’ll Be There,The Jackson 5,232,4,0.527,0.852,2,-6.18,1,0.0456,0.0209,3.01e-06,0.187,0.254,112.491,61,1970,63
Express Yourself,Charles Wright & the Watts 103rd Street Rhythm Band,265,4,0.851,0.583,8,-11.022,0,0.286,0.0506,0.0,0.236,0.956,95.048,60,1970,58
"He Ain’t Heavy, He’s My Brother",The Hollies,256,4,0.348,0.328,7,-11.505,1,0.0288,0.181,1.67e-05,0.263,0.232,76.059,60,1970,62
Mama Told Me (NOT To Come),Three Dog Night,198,4,0.673,0.673,1,-13.941,1,0.0493,0.373,0.0265,0.206,0.825,119.994,60,1970,60
The Rapper,The Jaggerz,168,4,0.639,0.626,6,-6.978,0,0.243,0.141,0.0,0.178,0.336,174.097,58,1970,30
All Right Now,Free,334,4,0.773,0.407,2,-15.039,1,0.0752,0.0768,1.77e-06,0.08,0.775,119.829,56,1970,65
Spill The Wine,Eric Burdon & War,246,4,0.818,0.475,2,-12.88,0,0.0708,0.471,0.0,0.0943,0.902,120.378,55,1970,43
Thank You (FALETTINME Be Mice Elf Agin),Sly & the Family Stone,291,4,0.9,0.709,9,-12.683,1,0.0636,0.296,0.00047,0.0863,0.897,105.822,55,1970,54
Arizona,Mark Lindsay,290,4,0.506,0.523,4,-6.809,1,0.0302,0.0146,0.232,0.0874,0.348,154.053,53,1970,83
"Easy Come, Easy Go",Bobby Sherman,184,4,0.811,0.371,2,-14.992,1,0.0328,0.584,0.0019,0.062,0.745,106.682,52,1970,53
Instant Karma!,John Lennon,200,4,0.628,0.931,9,-9.973,1,0.0968,0.000689,0.00146,0.0997,0.144,119.976,52,1970,51
Didn’t I (BLOW Your Mind This Time),The Delfonics,201,4,0.484,0.59,9,-6.663,1,0.0283,0.795,0.00306,0.155,0.324,140.588,52,1970,53
Vehicle,The Ides of March,178,4,0.474,0.734,10,-8.813,0,0.0426,0.0871,0.00356,0.26,0.926,101.751,52,1970,53
Snowbird,Anne Murray,134,4,0.531,0.48,9,-10.633,1,0.0366,0.256,0.000136,0.0908,0.881,104.117,51,1970,22
Ride Captain Ride,Blues Image,225,4,0.547,0.655,2,-11.707,1,0.0414,0.136,0.00737,0.116,0.649,125.545,51,1970,50
Woodstock,"Crosby, Stills, Nash & Young",233,4,0.458,0.539,4,-12.403,0,0.057,0.122,0.00946,0.17,0.56,118.95,50,1970,50
Rainy Night In Georgia,Brook Benton,233,4,0.301,0.309,4,-19.155,0,0.042,0.524,0.0758,0.129,0.384,75.165,49,1970,48
Hey There Lonely Girl,Eddie Holman,216,3,0.389,0.322,9,-10.923,1,0.0282,0.693,2.08e-06,0.0814,0.343,94.007,49,1970,50
Holly Holy,Neil Diamond,280,4,0.283,0.31,9,-14.284,1,0.0279,0.661,0.000588,0.122,0.402,103.285,49,1970,45
Jingle Jangle,the Archies,201,4,0.707,0.224,7,-12.037,0,0.0398,0.973,0.000832,0.0465,0.823,93.922,48,1970,53
Candida,Dawn,182,4,0.783,0.596,7,-10.056,1,0.0676,0.235,0.0,0.0427,0.88,127.576,47,1970,47
Green-Eyed Lady,Sugarloaf,219,4,0.564,0.523,7,-12.908,1,0.122,0.178,0.0303,0.0624,0.89,149.304,47,1970,47
United We Stand,The Brotherhood of Man,237,4,0.388,0.901,9,-6.846,0,0.122,0.0077,0.385,0.119,0.146,169.985,47,1970,46
Still Water (LOVE),The Four Tops,194,4,0.515,0.532,10,-12.472,1,0.0245,0.355,0.000711,0.498,0.961,94.165,47,1970,45
Take A Letter Maria,R.B. Greaves,164,4,0.582,0.5,2,-11.647,1,0.0459,0.636,9.71e-06,0.134,0.971,160.414,46,1970,46
Reflections Of My Life,Marmalade,251,4,0.387,0.406,7,-10.666,1,0.0269,0.572,0.0354,0.295,0.509,92.683,45,1970,45
Ball Of Confusion (THAT’S What The World Is Today),The Temptations,246,4,0.529,0.735,5,-8.153,1,0.0896,0.238,0.0,0.102,0.862,79.002,45,1970,45
